AE.01.101	Abu Dhabi Municipality
JP.40.1861634	Inagi-shi
JP.42.1861653	Imizu Shi
JP.38.1861696	Nikko-shi
JP.06.1861716	Imadate-gun
JP.28.1861747	Ikoma-shi
JP.28.1861748	Ikoma-gun
JP.27.1861758	Iki Shi
JP.32.1861785	Ikeda Shi
JP.07.1861834	Iizuka Shi
JP.26.1861837	Iiyama Shi
JP.26.1861858	Iida Shi
JP.23.1861901	Iga-shi
JP.01.1861940	Ichinomiya Shi
JP.04.1861964	Ichikawa Shi
JP.18.1862007	Ibusuki Shi
JP.13.1862022	Ibo-gun
JP.32.1862032	Ibaraki Shi
JP.25.1862036	Hyūga Shi
JP.34.1862192	Honjō Shi
JP.45.1862301	Hofu Shi
JP.21.1862350	Hitoyoshi Shi
JP.30.1862367	Hita Shi
JP.11.1862412	Hiroshima-shi
JP.19.1862461	Hiratsuka Shi
JP.32.1862538	Hirakata Shi
JP.40.1862576	Hino Shi
JP.41.1862590	Hino Gun
JP.42.1862610	Himi Shi
JP.13.1862625	Himeji Shi
JP.35.1862635	Hikone Shi
JP.34.1862655	Hiki-gun
JP.45.1862667	Hikari Shi
JP.40.1862703	Higashiyamato Shi
JP.25.1862717	Higashiusuki-gun
JP.44.1862730	Higashitagawa-gun
JP.27.1862734	Higashisonigi-gun
JP.32.1862751	Higashiōsaka Shi
JP.43.1862767	Higashimuro-gun
JP.40.1862768	Higashi-murayama-shi
JP.34.1862777	Higashimatsuyama Shi
JP.33.1862779	Higashimatsuura-gun
JP.40.1862785	Higashikurume-shi
JP.29.1862804	Higashikambara-gun
JP.11.1862821	Higashihiroshima Shi
JP.26.1862841	Higashichikuma Gun
JP.43.1862875	Hidaka-gun
JP.01.1862911	Hekinan Shi
JP.11.1863017	Hatsukaichi-shi
JP.20.1863048	Hata-gun
JP.34.1863058	Hasuda-shi
JP.43.1863079	Hashimoto Shi
JP.09.1863085	Hashima-gun
JP.34.1863182	Hannō-shi
JP.32.1863185	Hannan Shi
JP.26.1863187	Hanishina-gun
JP.01.1863204	Handa Shi
JP.40.1863251	Hamura-shi
JP.37.1863288	Hamamatsu Shi
JP.36.1863308	Hamada Shi
JP.15.1863340	Hakui Shi
JP.37.1863397	Haibara-gun
JP.45.1863413	Hagi Shi
JP.19.1863429	Hadano-shi
JP.40.1863453	Hachijō Shichō
JP.32.1863476	Habikino-shi
JP.34.1863481	Gyōda Shi
JP.36.1863519	Gōtsu Shi
JP.37.1863526	Gotenba Shi
JP.28.1863538	Gose Shi
JP.29.1863539	Gosen Shi
JP.28.1863590	Gojō-shi
JP.47.1863626	Ginowan Shi
JP.09.1863639	Gifu Shi
JP.09.1863645	Gero-shi
JP.35.1863686	Gamō-gun
JP.01.1863692	Gamagōri Shi
JP.09.1863710	Fuwa-gun
JP.04.1863711	Futtsu Shi
JP.40.1863780	Fussa Shi
JP.04.1863903	Funabashi-shi
JP.11.1863914	Fukuyama Shi
JP.37.1863944	Fukuroi Shi
JP.07.1863955	Fukuoka-shi
JP.06.1863982	Fukui-shi
JP.22.1864008	Fukuchiyama Shi
JP.34.1864030	Fukaya-shi
JP.46.1864076	Fuji-yoshida Shi
JP.37.1864089	Fuji Shi
JP.19.1864091	Fujisawa Shi
JP.37.1864104	Fujinomiya Shi
JP.34.1864112	Fujimi-shi
JP.32.1864125	Fujiidera-shi
JP.37.1864131	Fujieda Shi
JP.40.1864148	Fuchū-shi
JP.11.1864151	Fuchū-shi
JP.09.1864208	Ena-shi
JP.40.1864242	Edogawa Ku
JP.35.1864254	Echi-gun
JP.25.1864313	Ebino-shi
JP.07.1864394	Dazaifu-shi
JP.32.1864413	Daitō Shi
JP.40.1864487	Chūō Ku
JP.40.1864514	Chōfu-shi
JP.40.1864529	Chiyoda-ku
JP.01.1864539	Chita Shi
JP.01.1864542	Chita-gun
JP.01.1864548	Chiryū Shi
JP.26.1864555	Chino Shi
JP.07.1864573	Chikushino-shi
JP.07.1864588	Chikujō-gun
JP.07.1864591	Chikugo Shi
JP.26.1864613	Chiisakata-gun
JP.19.1864622	Chigasaki Shi
JP.34.1864636	Chichibu-gun
JP.07.1864660	Buzen-shi
JP.30.1864667	Bungo-takada Shi
JP.31.1864698	Bizen Shi
JP.19.1864864	Ayase Shi
JP.22.1864872	Ayabe Shi
JP.04.1864901	Awa-gun
JP.39.1864902	Awa-shi
JP.19.1864928	Atsugi Shi
JP.37.1864943	Atami-shi
JP.21.1864973	Aso-shi
JP.21.1864975	Aso-gun
JP.13.1864981	Ashiya Shi
JP.38.1865004	Ashikaga Shi
JP.19.1865009	Ashigarashimo-gun
JP.19.1865011	Ashigarakami-gun
JP.31.1865049	Asakuchi-gun
JP.34.1865056	Asaka-shi
JP.43.1865121	Arida Shi
JP.43.1865123	Arida-gun
JP.21.1865168	Arao Shi
JP.40.1865187	Arakawa Ku
JP.29.1865200	Myoko-shi
JP.01.1865293	Anjō Shi
JP.39.1865306	Anan Shi
JP.09.1865323	Ampachi-gun
JP.21.1865358	Amakusa Shi
JP.21.1865360	Amakusa Gun
JP.01.1865365	Ama-gun
JP.13.1865383	Amagasaki Shi
JP.18.1865399	Akune Shi
JP.13.1865406	Akō Shi
JP.13.1865409	Akō-gun
JP.40.1865425	Akishima Shi
JP.20.1865426	Aki Shi
JP.11.1865442	Aki-gun
JP.20.1865443	Aki Gun
JP.13.1865470	Akashi Shi
JP.08.1865633	Aizu-wakamatsu Shi
JP.18.1865649	Aira Gun
JP.18.1865650	Aira Shi
JP.01.1865696	Aichi-gun
JP.20.1865726	Agawa-gun
JP.40.1865750	Adachi Ku
JP.45.1865762	Abu-gun
JP.05.1926017	Yawatahama-shi
JP.05.1926135	Imabari-shi
JP.12.2038726	Okushiri-gun
JP.02.2110459	Yuzawa Shi
JP.44.2110496	Yonezawa Shi
JP.02.2110504	Yokote Shi
JP.44.2110552	Yamagata Shi
JP.04.2110578	Yachiyo Shi
JP.16.2110604	Waga-gun
JP.14.2110701	Tsuchiura-shi
JP.14.2110728	Toride Shi
JP.16.2110732	Tōno Shi
JP.04.2110747	Tomisato-shi
JP.24.2110755	Tome Shi
JP.04.2110773	Tōgane Shi
JP.08.2110839	Tamura-gun
JP.16.2110852	Takizawa-shi
JP.08.2110958	Sukagawa Shi
JP.08.2110975	Sōma Shi
JP.08.2110976	Sōma-gun
JP.04.2110982	Sodegaura-shi
JP.16.2111005	Shiwa-gun
JP.24.2111014	Shiroishi Shi
JP.04.2111017	Shiroi-shi
JP.08.2111029	Shirakawa Shi
JP.24.2111045	Shiogama Shi
JP.44.2111061	Shinjō Shi
JP.24.2111130	Shibata-gun
JP.24.2111147	Sendai Shi
JP.02.2111153	Semboku-gun
JP.04.2111171	Katori-shi
JP.04.2111211	Sambu-gun
JP.04.2111215	Sakura Shi
JP.44.2111245	Sagae-shi
JP.14.2111256	Ryūgasaki Shi
JP.38.2111324	Ōtawara Shi
JP.40.2111520	Ogasawara Shichō
JP.16.2111528	Ōfunato-shi
JP.08.2111613	Nishishirakawa-gun
JP.44.2111620	Nishimurayama-gun
JP.08.2111654	Nihonmatsu Shi
JP.38.2111674	Nasu-gun
JP.04.2111683	Narita Shi
JP.04.2111686	Narashino Shi
JP.44.2111692	Nan'yō Shi
JP.14.2111741	Naka-shi
JP.14.2111742	Naka-gun
JP.44.2111778	Nagai-shi
JP.44.2111805	Murayama Shi
JP.24.2111817	Motoyoshi Gun
JP.16.2111833	Morioka Shi
JP.38.2111835	Mooka-shi
JP.44.2111850	Mogami-gun
JP.04.2111854	Mobara Shi
JP.16.2111883	Miyako Shi
JP.24.2111889	Miyagi Gun
JP.14.2111899	Mito Shi
JP.02.2111935	Minamiakita-gun
JP.24.2112074	Kurokawa-gun
JP.24.2112092	Kurihara Shi
JP.14.2112115	Kuji-gun
JP.08.2112139	Kōriyama Shi
JP.16.2112223	Kitakami Shi
JP.14.2112231	Kitaibaraki Shi
JP.02.2112235	Kitaakita-gun
JP.24.2112261	Kesennuma Shi
JP.16.2112264	Kesen-gun
JP.24.2112306	Katta-gun
JP.04.2112318	Katori-gun
JP.04.2112330	Kashiwa Shi
JP.14.2112334	Kashima-shi
JP.14.2112342	Kasama Shi
JP.04.2112386	Kamogawa-shi
JP.14.2112399	Kamisu-shi
JP.44.2112407	Kaminoyama-shi
JP.16.2112424	Kamihei-gun
JP.16.2112441	Kamaishi Shi
JP.04.2112445	Kamagaya Shi
JP.24.2112525	Iwanuma-shi
JP.08.2112535	Iwaki-shi
JP.04.2112557	Isumi-gun
JP.24.2112574	Ishinomaki Shi
JP.04.2112602	Inzai-shi
JP.14.2112616	Inashiki-gun
JP.04.2112631	Imba-gun
JP.16.2112655	Ichinoseki-shi
JP.04.2112663	Ichihara Shi
JP.14.2112704	Hitachi Shi
JP.14.2112705	Hitachi-ōta Shi
JP.44.2112756	Higashiokitama-gun
JP.44.2112760	Higashimurayama-gun
JP.14.2112766	Higashiibaraki-gun
JP.16.2112822	Hanamaki Shi
JP.38.2112845	Haga-gun
JP.08.2112921	Fukushima Shi
JP.08.2112978	Date-shi
JP.08.2112979	Date-gun
JP.04.2112994	Chōshi Shi
JP.04.2112997	Chōsei-gun
JP.04.2113012	Chiba Shi
JP.04.2113074	Asahi Shi
JP.02.2113122	Akita Shi
JP.08.2113158	Adachi-gun
JP.04.2113162	Abiko Shi
JP.12.2127415	Yūbari Shi
JP.12.2127440	Yoichi-gun
JP.02.2127468	Yamamoto-gun
JP.12.2127513	Wakkanai Shi
JP.12.2127544	Utashinai Shi
JP.03.2127674	Towada Shi
JP.12.2127730	Tomamae Gun
JP.12.2127732	Tomakomai Shi
JP.12.2127817	Teshio Gun
JP.12.2127895	Takikawa Shi
JP.12.2127954	Sunagawa Shi
JP.03.2128134	Shimokita-gun
JP.12.2128201	Shibetsu Shi
JP.12.2128291	Sapporo-shi
JP.03.2128302	Sannohe Gun
JP.12.2128378	Rumoi Shi
JP.12.2128405	Rishiri Gun
JP.12.2128418	Rebun Gun
JP.12.2128570	Otaru Shi
JP.02.2128783	Ōdate-shi
JP.12.2128812	Obihiro Shi
JP.02.2128864	Noshiro Shi
JP.12.2128892	Noboribetsu Shi
JP.16.2128940	Ninohe Shi
JP.16.2128941	Ninohe-gun
JP.12.2128971	Nemuro-shi
JP.03.2129089	Mutsu Shi
JP.12.2129098	Muroran Shi
JP.03.2129224	Minamitsugaru Gun
JP.12.2129370	Kushiro Shi
JP.03.2129393	Kuroishi Shi
JP.16.2129400	Kunohe-gun
JP.16.2129423	Kuji Shi
JP.03.2129525	Kitatsugaru Gun
JP.12.2129532	Kitami Shi
JP.02.2129593	Kazuno Shi
JP.02.2129594	Kazuno-gun
JP.12.2129597	Kayabe-gun
JP.03.2129754	Kamikita-gun
JP.12.2129758	Kamikawa-gun (Ishikari)
JP.12.2129763	Kamiiso-gun
JP.12.2129779	Kameda-gun
JP.12.2129864	Iwanai-gun
JP.12.2129869	Iwamizawa Shi
JP.12.2130044	Hiyama-gun
JP.03.2130056	Hirosaki Shi
JP.12.2130058	Hiroo-gun
JP.03.2130088	Higashitsugaru-gun
JP.12.2130184	Hakodate Shi
JP.03.2130200	Hachinohe Shi
JP.03.2130225	Goshogawara Shi
JP.12.2130304	Furano Shi
JP.12.2130331	Fukagawa Shi
JP.12.2130385	Eniwa-shi
JP.12.2130402	Ebetsu Shi
JP.12.2130419	Date-shi
JP.12.2130449	Chitose Shi
JP.12.2130533	Bibai Shi
JP.12.2130609	Ashibetsu Shi
JP.12.2130628	Asahikawa-shi
JP.03.2130654	Aomori Shi
JP.12.2130704	Akabira Shi
JP.12.2130724	Abuta-gun
JP.12.2130736	Abashiri Shi
JP.05.6691620	Tōon-shi
JP.05.6691622	Kamiukena-gun
JP.35.6822197	Higashiōmi-shi
JP.14.6950859	Moriya-shi
JP.30.7279571	Kunisaki-shi
JP.01.7369797	Kiyosu Shi
JP.01.7369798	Aisai Shi
JP.01.7369799	Iwakura Shi
JP.01.7369800	Kitanagoya Shi
JP.01.7369801	Takahama Shi
JP.01.7369802	Toyohashi Shi
JP.13.7370808	Kanzaki-gun
JP.13.7370809	Mikata-gun
JP.13.7370810	Sumoto Shi
JP.13.7370811	Miki Shi
JP.13.7370812	Ono Shi
JP.13.7370813	Sanda Shi
JP.13.7370814	Kasai Shi
JP.13.7370815	Tanba-Sasayama-shi
JP.13.7370816	Tanba Shi
JP.13.7370817	Minamiawaji Shi
JP.13.7370818	Asago Shi
JP.13.7370819	Awaji Shi
JP.13.7370820	Shisō Shi
JP.13.7370821	Katō Shi
JP.11.7372274	Aki-takata Shi
JP.11.7372275	Shōbara-shi
JP.11.7372276	Sera-gun
JP.18.7383987	Amami Shi
JP.18.7383988	Hioki Shi
JP.18.7383990	Ichiki-kushikino Shi
JP.18.7383991	Isa Shi
JP.18.7383992	Kirishima Shi
JP.18.7383993	Minamikyushu Shi
JP.18.7383994	Minamisatsuma Shi
JP.18.7383995	Satsuma-sendai Shi
JP.18.7383996	Soo Shi
JP.18.7383997	Izumi-gun
JP.18.7383999	Kimotsuki Gun
JP.42.7391183	Nanto Shi
JP.17.7391347	Higashikagawa Shi
JP.17.7391348	Ayauta-gun
JP.33.7391354	Fujitsu-gun
JP.33.7391355	Imari Shi
JP.33.7391356	Kanzaki-gun
JP.33.7391357	Kanzaki Shi
JP.33.7391358	Kishima-gun
JP.33.7391363	Ureshino Shi
JP.32.7391698	Izumisano Shi
JP.32.7391699	Ōsaka-sayama Shi
JP.32.7391700	Sennan Shi
JP.32.7391701	Toyonaka Shi
JP.32.7391703	Senboku-gun
JP.41.7392255	Kurayoshi Shi
JP.41.7392260	Iwami-gun
JP.36.7392547	Ishii Gun
JP.36.7392548	Nita Gun
JP.36.7392549	Kanoashi Gun
JP.36.7392557	Unnan Shi
JP.36.7392558	Yasugi Shi
JP.45.7392999	San'yō-onoda Shi
JP.45.7393001	Shūnan Shi
JP.35.7394802	Maibara-shi
JP.35.7394806	Inukami-gun
JP.31.7405219	Aida-gun
JP.31.7405220	Kaga-gun
JP.31.7405222	Wake-gun
JP.31.7405223	Ibara Shi
JP.31.7405224	Sōja Shi
JP.31.7405225	Niimi Shi
JP.31.7405226	Setouchi Shi
JP.31.7405227	Akaiwa Shi
JP.31.7405228	Maniwa Shi
JP.31.7405229	Asakuchi Shi
JP.20.7405897	Sukumo Shi
JP.20.7405898	Shimanto Shi
JP.20.7405899	Kōnan Shi
JP.20.7405900	Kami Shi
JP.05.7406319	Shikoku-chūō Shi
JP.39.7406321	Mima Gun
JP.39.7406322	Myōdō Gun
JP.39.7406323	Naka Gun
JP.39.7406324	Yoshinogawa Shi
JP.39.7406325	Mima Shi
JP.39.7406326	Miyoshi Shi
JP.07.7406948	Asakura-gun
JP.07.7406950	Miyako-gun
JP.07.7406951	Mizuma-gun
JP.07.7407411	Asakura Shi
JP.07.7407412	Fukutsu Shi
JP.07.7407413	Kama Shi
JP.07.7407415	Miyama Shi
JP.07.7407416	Miyawaka Shi
JP.07.7407417	Nōgata Shi
JP.07.7407420	Ukiha Shi
JP.43.7411112	Gobō Shi
JP.43.7411113	Iwade Shi
JP.43.7411114	Kinokawa Shi
JP.28.7411375	Kitakatsuragi-gun
JP.28.7411376	Takaichi-gun
JP.28.7411377	Yamabe-gun
JP.22.7412122	Funai-gun
JP.22.7412123	Kuse-gun
JP.22.7412124	Otokuni-gun
JP.22.7412125	Tsuzuki-gun
JP.22.7412197	Miyazu Shi
JP.22.7412199	Yawata Shi
JP.22.7412200	Kyōtango Shi
JP.22.7412201	Nantan Shi
JP.22.7412210	Kyōtanabe Shi
JP.28.7412211	Katsuragi Shi
JP.28.7412212	Uda Shi
JP.21.7412705	Ashikita-gun
JP.21.7412706	Kamimashiki-gun
JP.21.7412708	Kuma-gun
JP.21.7412709	Shimomashiki-gun
JP.21.7413150	Yamaga Shi
JP.21.7413151	Kamiamakusa Shi
JP.21.7413152	Uki Shi
JP.21.7413153	Kōshi Shi
JP.25.7413964	HIgashimorokata Gun
JP.25.7413965	Kitamorokata Gun
JP.25.7413967	Nishimorokata Gun
JP.25.7413968	Nishiusuki-gun
JP.25.7413970	Kobayashi Shi
JP.30.7414041	Hayami-gun
JP.30.7414042	Higashikunisaki-gun
JP.30.7414050	Beppu Shi
JP.30.7414051	Bungo-ōno Shi
JP.47.7415817	Miyako-gun
JP.47.7415819	Miyakojima Shi
JP.47.7415820	Nanjō Shi
JP.47.7415821	Uruma Shi
JP.46.7415908	Minamitsuru-gun
JP.46.7415909	Nakakoma-gun
JP.46.7415914	Minami Alps Shi
JP.46.7415915	Hokuto Shi
JP.46.7415916	Fuefuki Shi
JP.46.7415917	Kōshū Shi
JP.46.7415926	Chūō Shi
JP.26.7416552	Kamiminochi-gun
JP.26.7416554	Kiso-gun
JP.26.7417078	Chikuma Shi
JP.26.7417079	Tōmi Shi
JP.23.7417702	Inabe-gun
JP.23.7417703	Minamimuro-gun
JP.23.7417704	Taki-gun
JP.23.7417710	Inabe Shi
JP.23.7417711	Kameyama Shi
JP.37.7418312	Shūchi-gun
JP.37.7418320	Izunokuni-shi
JP.37.7418321	Makinohara Shi
JP.37.7418322	Shimada-shi
JP.27.7418804	Gotō Shi
JP.27.7418805	Hirado Shi
JP.27.7418806	Minamishimabara Shi
JP.27.7418807	Ōmura Shi
JP.27.7418808	Saikai Shi
JP.27.7418809	Shimabara Shi
JP.27.7418810	Tsushima Shi
JP.27.7418811	Unzen Shi
JP.09.7418819	Ibi-gun
JP.09.7418821	Yōrō-gun
JP.09.7419031	Gujō Shi
JP.09.7419032	Hida Shi
JP.09.7419033	Mino Shi
JP.09.7419034	Mizuho Shi
JP.09.7419035	Motosu Shi
JP.09.7419036	Yamagata Shi
JP.12.7428076	Abashiri-gun
JP.12.7428077	Akan-gun
JP.12.7428078	Akkeshi-gun
JP.12.7428079	Ashoro-gun
JP.12.7428080	Esashi Gun
JP.12.7428081	Furuu-gun
JP.12.7428082	Futami-gun
JP.12.7428083	Hidaka-gun
JP.12.7428084	Horoizumi-gun
JP.12.7428085	Ishikari-gun
JP.12.7428086	Isoya-gun
JP.12.7428087	Kabato-gun
JP.12.7428088	Kasai-gun
JP.12.7428089	Katō-gun
JP.12.7428090	Kawakami-gun
JP.12.7428091	Kudō-gun
JP.12.7428092	Mashike-gun
JP.12.7428093	Matsumae-gun
JP.12.7428094	Menashi-gun
JP.12.7428095	Monbetsu Gun
JP.12.7428096	Nakagawa Gun
JP.12.7428097	Nakagawa-gun
JP.12.7428099	Nishi-gun
JP.12.7428101	Rumoi Gun
JP.12.7428102	Samani-gun
JP.12.7428103	Saru-gun
JP.12.7428104	Setana-gun
JP.12.7428105	Shakotan-gun
JP.12.7428106	Shari-gun
JP.12.7428107	Shibetsu-gun
JP.12.7428108	Shimamaki-gun
JP.12.7428109	Shiranuka-gun
JP.12.7428110	Shiraoi-gun
JP.12.7428111	Sorachi-gun
JP.12.7428112	Sōya Gun
JP.12.7428113	Suttsu-gun
JP.12.7428114	Tokachi-gun
JP.12.7428115	Tokoro-gun
JP.12.7428117	Uryū Gun
JP.12.7428118	Usu-gun
JP.12.7428119	Yamakoshi-gun
JP.12.7428120	Yūbari-gun
JP.12.7428121	Yūfutsu-gun
JP.12.7429513	Hokuto Shi
JP.12.7429514	Ishikari Shi
JP.12.7429515	Monbetsu Shi
JP.12.7429516	Nayoro Shi
JP.03.7439929	Nakatsugaru Gun
JP.03.7439934	Hirakawa Shi
JP.03.7439937	Misawa Shi
JP.03.7439944	Tsugaru Shi
JP.16.7441804	Iwate-gun
JP.16.7441805	Nishiiwai Gun
JP.16.7441806	Shimohei-gun
JP.16.7441808	Hachimantai Shi
JP.16.7441816	Ōshū Shi
JP.16.7441817	Rikuzen-takata Shi
JP.02.7443147	Ogachi-gun
JP.02.7443149	Daisen Shi
JP.02.7443155	Katagami Shi
JP.02.7443156	Kitaakita-shi
JP.02.7443160	Yuri-honjō Shi
JP.24.7446984	Igu-gun
JP.24.7446985	Kami-gun
JP.24.7446986	Oshika Gun
JP.24.7446987	Tōda Gun
JP.24.7446988	Watari-gun
JP.24.7446990	Higashimatsushima Shi
JP.24.7446991	Kakuda Shi
JP.24.7447001	Ōsaki Shi
JP.44.7450014	Higashine Shi
JP.44.7450018	Obanazawa Shi
JP.44.7450462	Akumi-gun
JP.44.7450463	Kitamurayama-gun
JP.44.7450466	Tendō Shi
JP.08.7451488	Futaba-gun
JP.08.7451501	Higashishirakawa-gun
JP.08.7451502	Ishikawa-gun
JP.08.7451503	Iwase-gun
JP.08.7451504	Ōnuma-gun
JP.08.7451517	Minamisōma Shi
JP.14.7452677	Bandō Shi
JP.14.7452678	Chikusei Shi
JP.14.7452680	Hitachi-ōmiya Shi
JP.14.7452799	Hokota Shi
JP.14.7452800	Ishioka Shi
JP.14.7452801	Itako Shi
JP.14.7452802	Jōsō Shi
JP.14.7452804	Namegata Shi
JP.14.7452805	Omitama Shi
JP.14.7452807	Takahagi Shi
JP.14.7452808	Tsukuba-mirai Shi
JP.14.7452809	Tsukuba Shi
JP.14.7452810	Ushiku Shi
JP.38.7453512	Nasu-karasuyama Shi
JP.38.7453513	Nasu-shiobara Shi
JP.38.7453516	Sakura Shi
JP.38.7453517	Sano Shi
JP.38.7453590	Tochigi Shi
JP.10.7453747	Agatsuma-gun
JP.10.7453748	Tone-gun
JP.10.7453835	Annaka Shi
JP.10.7453836	Fujioka Shi
JP.10.7453839	Kiryū Shi
JP.10.7453841	Midori Shi
JP.10.7453843	Numata Shi
JP.10.7453849	Tatebayashi Shi
JP.34.7458572	Kodama-gun
JP.34.7458573	Ōsato-gun
JP.34.7464121	Chichibu Shi
JP.34.7464122	Hanyū Shi
JP.34.7464123	Sōka Shi
JP.34.7464124	Kuki-shi
JP.34.7464125	Kitamoto Shi
JP.34.7464126	Satte Shi
JP.34.7464127	Yoshikawa Shi
JP.34.7464128	Fujimino Shi
JP.04.7465520	Yotsukaidō Shi
JP.04.7465521	Minamibōsō Shi
JP.04.7465522	Sōsa Shi
JP.04.7465523	Sanmu Shi
JP.04.7465524	Isumi Shi
JP.04.7465528	Ōamishirasato-shi
JP.06.7465770	Yoshida Gun
JP.06.7465771	Nanjō-gun
JP.06.7465772	Mikata-gun
JP.06.7465773	Mikatakaminaka-gun
JP.06.7467384	Ōno Shi
JP.06.7467385	Awara-shi
JP.06.7467386	Echizen Shi
JP.06.7467387	Sakai-shi
JP.15.7467838	Hakui Gun
JP.15.7467839	Hōsu Gun
JP.15.7467840	Kashima Gun
JP.15.7467879	Nanao Shi
JP.15.7467880	Kahoku Shi
JP.15.7467881	Hakusan Shi
JP.15.7467882	Nomi Shi
JP.29.7468155	Minamikanbara-gun
JP.29.7468157	Minamiōnuma-gun
JP.29.7468158	Nakaōnuma-gun
JP.29.7468159	Kariwa-gun
JP.19.7468160	Aikō-gun
JP.29.7468177	Murakami Shi
JP.29.7468178	Itoigawa Shi
JP.29.7468179	Agano Shi
JP.29.7468180	Uonuma Shi
JP.29.7468181	Minamiuonuma Shi
JP.29.7468182	Tainai Shi
JP.19.7470888	Zushi Shi
JP.19.7470889	Ebina
JP.19.7470890	Minamiashigara Shi
JP.40.7475133	Bunkyō-ku
JP.40.7475134	Taitō-ku
JP.40.7475135	Toshima-ku
JP.18.8300556	Kanoya Shi
JP.33.8300623	Karatsu Shi
JP.32.8300631	Moriguchi Shi
JP.37.8301106	Itō Shi
JP.37.8301107	Kakegawa Shi
JP.37.8301108	Kosai Shi
JP.27.8301120	Isahaya Shi
JP.12.8301405	Mikasa Shi
JP.24.8303940	Natori Shi
JP.24.8303941	Tagajō Shi
JP.14.8304033	Hitachinaka Shi
JP.14.8304034	Inashiki Shi
JP.14.8304035	Sakuragawa Shi
JP.34.8304212	Kumagaya Shi
JP.34.8304213	Kasukabe Shi
JP.34.8304214	Ageo Shi
JP.34.8304215	Shiki Shi
JP.04.8304237	Kisarazu Shi
JP.04.8304238	Yachimata Shi
JP.06.8304246	Sabae Shi
JP.40.8304374	Akiruno Shi
JP.40.8304375	Hachiōji Shi
JP.40.8304376	Nishitōkyō-shi
JP.03.8534376	Nishitsugaru-gun
JP.18.8714932	Kumage-gun
JP.32.8714934	Toyono Gun
JP.30.8739980	Yufu-shi
JP.35.8740424	Takashima-shi
JP.11.8740425	Etajima-shi
JP.45.8740711	Kumage-gun
JP.14.8741149	Kasumigaura Shi
JP.08.9035647	Tamura-shi
JP.08.9035648	Motomiya-shi
JP.07.9035649	Itoshima-shi
JP.02.9035660	Semboku-shi
JP.37.9036693	Izu-shi
JP.17.9036694	Sanuki-shi
JP.28.9036699	Kashihara-shi
JP.46.9062326	Kai-shi
JP.04.9062338	Katsuura-shi
JP.12.9072585	Kitahiroshima-shi
JP.14.9072668	Kitasoma-gun
JP.01.9405857	Ama-Shi
JP.34.9881554	Hidaka-shi
JP.39.10172903	Naruto-shi
JP.26.10629642	Azumino-Shi
JP.05.10861187	Seiyo Shi
JP.34.10942180	Konosu-Shi
JP.16.11497023	Isawa-gun
JP.12.11497558	Kamikawa-gun (Tokachi)
JP.12.11497755	Kamikawa-gun (Teshio no kuni)
JP.13.11668516	Aioi Shi
JP.34.11668552	Yashio-shi
JP.24.12324190	Tomiya-shi
JP.07.12324191	Nakagawa
KG.09.1222671	Kadamjaiskiy Raion
KG.02.1528261	Ysyk-Ata
KG.08.7910405	Nookat
KG.03.8139375	Aksy
KG.08.8739771	Alay District
KG.04.9165774	At-Bashi
KH.25.0107	Srŏk Thmâ Pôk
KH.31.2507	Srŏk Tbong Khmŭm
KH.05.0608	Srŏk Stoŭng
KH.27.2204	Srŏk Sâmraông
KH.24.1707	Srŏk Puŏk
KH.04.0505	Srŏk Ŏdŏngk
KH.31.2503	Srŏk Mémót
KH.31.2502	Srŏk Kroch Chhmar
KH.07.0801	Kandal Stueng
KH.05.0602	Srŏk Kâmpóng Svay
KH.13.1302	Srŏk Chhêb
KH.08.0901	Srŏk Batum Sakôr
KH.29.0203	Krong Battambang
KH.27.2202	Srŏk Bântéay Âmpĭl
KH.03.0403	Kampong Chhnang
KH.05.0603	Stueng Saen
KH.29.0208	Sangkae
KH.29.0206	Moung Ruessei
KH.12.1501	Bakan
KH.12.1505	Pursat
KH.12.1503	Krakor
KH.03.0401	Baribour
KH.03.0406	Rolea B'ier
KH.09.1002	Kracheh
KH.02.0303	Cheung Prey
KH.05.0601	Baray
KH.05.0607	Santuk
KH.24.1710	Siem Reap
KH.02.0305	Kampong Cham
KH.17.1904	Stueng Traeng
KH.24.1701	Angkor Chum
KH.24.1714	Varin
KH.24.1713	Svay Leu
KH.13.1306	Sangkom Thmei
KH.25.0108	Srŏk Svay Chék
KH.29.0202	Srŏk Thmâ Koŭl
KH.29.0204	Srŏk Bâvĭl
KH.29.0207	Srŏk Rotanak Mondol
KH.29.0209	Srŏk Sâmlot
KH.29.0212	Srŏk Kâmriĕng
KH.29.0213	Srŏk Koăs Krâlâ
KH.30.2402	Khan Sala Krau
KH.30.2401	Khan Pailĭn
KH.02.0301	Srŏk Bathéay
KH.31.2506	Krŏng Suŏng
KH.25.0110	Krŏng Paôy Pêt
KH.24.1709	Srŏk Prasat Bakong
KH.27.2201	Srŏk Ânlóng Vêng
KH.27.2205	Srŏk Trâpeăng Prasat
KH.13.1304	Srŏk Kulén
KH.13.1308	Krŏng Preăh Vĭhéar
KH.17.1901	Srŏk Srêsén
KH.23.1601	Srŏk Ândong Méas
KH.23.1602	Srŏk Ban Lŭng
KH.23.1603	Srŏk Bâ Kêv
KH.23.1604	Srŏk Koun Mom
KH.23.1606	Srŏk Ou Chum
KH.23.1607	Srŏk Ou Ya Dav
KH.10.1101	Srŏk Kaev Seima
KH.10.1104	Srŏk Pech Chreada
KH.10.1105	Krŏng Sênmônoŭrôm
